namespace	strain_number
str10312	CCUG 10367	culture_number
str10312	CCUG 19506	culture_number
str10312	CCUG 6824	culture_number
str10312	CECT 8170	culture_number
str10312	CIP 107370	culture_number
str10312	LMG 8553	culture_number
str10312	LMG 8842	culture_number
str10312	NCTC 11168	culture_number
str10317	DSM 19628	culture_number
str1032	IFO 14595	culture_number
str1032	NBRC 14595	culture_number
str10322	ATCC BAA-245	culture_number
str10322	BCRC 17448	culture_number
str10322	CBMAI 625	culture_number
str10322	CCM 4899	culture_number
str10322	CCRC 17448	culture_number
str10322	CCUG 48434	culture_number
str10322	CIP 108255	culture_number
str10322	DSM 16553	culture_number
str10322	LMG 16656	culture_number
str10322	NCPPB 4247	culture_number
str10322	NCTC 13227	culture_number
str10324	CECT 5319	culture_number
str10324	DSM 11314	culture_number
str10324	KCTC 2953	culture_number
str10324	LMG 23162	culture_number
str10325	ATCC 700388	culture_number
str10325	CBMAI 690	culture_number
str10325	CCUG 48851	culture_number
str10325	CIP 106301	culture_number
str10325	DSM 13276	culture_number
str10325	LMG 20219	culture_number
str10325	VTT E-082813	culture_number
str10326	DSM 25157	culture_number
str10328	AS 1.2150	culture_number
str10328	ATCC 29605	culture_number
str10328	CCM 2852	culture_number
str10328	CGMCC 1.2150	culture_number
str10328	DSM 3757	culture_number
str10328	IAM 13648	culture_number
str10328	IFO 14742	culture_number
str10328	JCM 8879	culture_number
str10328	LMD 85.50	culture_number
str10328	NBRC 14742	culture_number
str10328	NCCB 85050	culture_number
str10328	NCIMB 2012	culture_number
str10328	NCMB 2012	culture_number
str10328	VKM B-1539	culture_number
str10328	VKM B-1768	culture_number
str10329	CRBIP 22.48	culture_number
str10330	ATCC 27881	culture_number
str10330	IFO 14081	culture_number
str10330	NBRC 14081	culture_number
str10330	NRRL B-87	culture_number
str10330	NRRL B-878	culture_number
str10332	DSM 2639	culture_number
str10337	ATCC 1007	culture_number
str10337	ATCC 9598	culture_number
str10337	ATCC 9602	culture_number
str10337	BCRC 32849	culture_number
str10337	CBS 513.65	culture_number
str10337	CCRC 32849	culture_number
str10337	CCRC 33142	culture_number
str10337	CECT 2674	culture_number
str10337	DSM 816	culture_number
str10337	FRR 0001	culture_number
str10337	IAM 14552	culture_number
str10337	IMI 015949	culture_number
str10337	JCM 1718	culture_number
str10337	NCTC 3887	culture_number
str10337	NCTC 9	culture_number
str10337	NCTC 978	culture_number
str10337	NRRL 1	culture_number
str10337	NRRL 1656	culture_number
str10337	UAMH 6632	culture_number
str10338	ATCC BAA-254	culture_number
str10338	DSM 12270	culture_number
str10338	DSM 26808	culture_number
str10339	ATCC 8585	culture_number
str10339	BCRC 21716	culture_number
str10339	CBS 2359	culture_number
str10339	CCRC 21716	culture_number
str10339	CECT 1931	culture_number
str10339	CLIB 209	culture_number
str10339	DBVPG 6725	culture_number
str10339	DBVPG 6731	culture_number
str10339	DBVPG 6833	culture_number
str10339	DSM 70799	culture_number
str10339	FRR 1337	culture_number
str10339	IAM 12492	culture_number
str10339	IFO 1267	culture_number
str10339	IFO 1902	culture_number
str10339	JCM 22014	culture_number
str10339	KCTC 7133	culture_number
str10339	KCTC 7139	culture_number
str10339	KCTC 7153	culture_number
str10339	MUCL 28767	culture_number
str10339	NBIMCC 1631	culture_number
str10339	NBRC 1267	culture_number
str10339	NBRC 1902	culture_number
str10339	NCAIM Y.00257	culture_number
str10339	NCAIM Y.00584	culture_number
str10339	NCIM 3551	culture_number
str10339	NCIM 3566	culture_number
str10339	NCYC 1368	culture_number
str10339	NRRL Y-1140	culture_number
str10339	VKM Y-61174	culture_number
str10339	VTT C-81104	culture_number
str1034	ATCC 44934	culture_number
str1035	CCT 3232	culture_number
str10353	CIP 108284	culture_number
str10355	JCM 10418	culture_number
str10360	CBS 2372	culture_number
str10360	IFO 0931	culture_number
str10360	JCM 3782	culture_number
str10360	NBRC 0931	culture_number
str10362	CGMCC 4.1092	culture_number
str10363	ATCC 19795	culture_number
str10363	ATCC 53630	culture_number
str10363	BCRC 11615	culture_number
str10363	CBS 547.68	culture_number
str10363	CCM 2778	culture_number
str10363	CCRC 11615	culture_number
str10363	CGMCC 4.1214	culture_number
str10363	CGMCC 4.1286	culture_number
str10363	CIP 107113	culture_number
str10363	DSM 40040	culture_number
str10363	HUT 6592	culture_number
str10363	IAM 14281	culture_number
str10363	IFO 12360	culture_number
str10363	IFO 12806	culture_number
str10363	IMET 7510	culture_number
str10363	IMET 7653	culture_number
str10363	JCM 4235	culture_number
str10363	JCM 4600	culture_number
str10363	KCTC 9412	culture_number
str10363	NBIMCC 2297	culture_number
str10363	NBRC 12360	culture_number
str10363	NBRC 12806	culture_number
str10363	NCIMB 12945	culture_number
str10363	NRRL 2450	culture_number
str10363	NRRL B-2450	culture_number
str10363	VKM AC-866	culture_number
str10368	ATCC 62147	culture_number
str10369	ATCC 76395	culture_number
str10370	ATCC 27422	culture_number
str10370	CBS 791.72	culture_number
str10370	CECT 3228	culture_number
str10370	DSM 40603	culture_number
str10370	IFO 13128	culture_number
str10370	IFO 13490	culture_number
str10370	IMET 43411	culture_number
str10370	JCM 4438	culture_number
str10370	JCM 4732	culture_number
str10370	KCTC 9096	culture_number
str10370	KCTC 9701	culture_number
str10370	NBIMCC 1204	culture_number
str10370	NBRC 13490	culture_number
str10370	NRRL 2564	culture_number
str10370	VKM AC-574	culture_number
str10371	ATCC 39006	culture_number
str10377	ATCC 31615	culture_number
str10378	ATCC 7956	culture_number
str10378	BCRC 14425	culture_number
str10378	CCRC 10653	culture_number
str10378	CCRC 14425	culture_number
str10378	CECT 487	culture_number
str10378	CECT 5852	culture_number
str10378	DSM 571	culture_number
str10378	HAMBI 2225	culture_number
str10378	LMG 2811	culture_number
str10378	NCIB 9385	culture_number
str10378	NCIMB 9385	culture_number
str10378	VTT E-032438	culture_number
str10381	CRBIP 22.7	culture_number
str10382	ATCC 31044	culture_number
str10382	BCRC 16286	culture_number
str10382	BCRC 16354	culture_number
str10382	CBS 674.73	culture_number
str10382	CCRC 16286	culture_number
str10382	CCRC 16354	culture_number
str10382	KCTC 9162	culture_number
str10383	ATCC 15413	culture_number
str10383	CBS 981.72	culture_number
str10383	CECT 3199	culture_number
str10383	DSM 1042	culture_number
str10383	DSM 40804	culture_number
str10383	IMET 43705	culture_number
str10383	JCM 4982	culture_number
str10383	KACC 20086	culture_number
str10383	NCIMB 12603	culture_number
str1039	DSM 22423	culture_number
str10390	DSM 28942	culture_number
str10393	CCAP 1559/2	culture_number
str10395	ATCC 14917	culture_number
str10395	BCC 5374	culture_number
str10395	BCRC 10069	culture_number
str10395	CBMAI 700	culture_number
str10395	CCM 7039	culture_number
str10395	CCRC 10069	culture_number
str10395	CCT 2687	culture_number
str10395	CCT 3751	culture_number
str10395	CCUG 30503	culture_number
str10395	CDBB 1115	culture_number
str10395	CECT 748	culture_number
str10395	CGMCC 1.2437	culture_number
str10395	CIP 103151	culture_number
str10395	DSM 20174	culture_number
str10395	HAMBI 72	culture_number
str10395	IAM 12477	culture_number
str10395	IFO 15891	culture_number
str10395	JCM 1149	culture_number
str10395	KACC 10771	culture_number
str10395	KCTC 3108	culture_number
str10395	LMG 6907	culture_number
str10395	LMG 7945	culture_number
str10395	NBIMCC 3447	culture_number
str10395	NBRC 15891	culture_number
str10395	NCDO 1752	culture_number
str10395	NCFB 1752	culture_number
str10395	NCIB 11974	culture_number
str10395	NCIMB 11974	culture_number
str10395	NRRL B-4496	culture_number
str10395	VKM B-2209	culture_number
str10395	VTT E-79098	culture_number
str10410	NCIM 923	culture_number
str10425	ATCC 23774	culture_number
str10425	ATCC 33448	culture_number
str10425	ATCC 621	culture_number
str10425	BCRC 10684	culture_number
str10425	CCM 1783	culture_number
str10425	CCRC 10684	culture_number
str10425	CCT 0552	culture_number
str10425	CCUG 18135	culture_number
str10425	CCUG 19135	culture_number
str10425	CDBB 1090	culture_number
str10425	CECT 360	culture_number
str10425	CIP 104737	culture_number
str10425	CIP 53.162	culture_number
str10425	DSM 50049	culture_number
str10425	HAMBI 374	culture_number
str10425	IAM 1829	culture_number
str10425	IAM 3130	culture_number
str10425	IFO 12528	culture_number
str10425	IFO 3172	culture_number
str10425	IMET 10507	culture_number
str10425	JCM 20289	culture_number
str10425	KCTC 1091	culture_number
str10425	KCTC 2111	culture_number
str10425	LMD 23.2	culture_number
str10425	LMG 1393	culture_number
str10425	LMG 1401	culture_number
str10425	LMG 1402	culture_number
str10425	LMG 1484	culture_number
str10425	LMG 1494	culture_number
str10425	LMG 1673	culture_number
str10425	NBRC 12528	culture_number
str10425	NBRC 3172	culture_number
str10425	NCAIM B.01220	culture_number
str10425	NCCB 23002	culture_number
str10425	NCDO 2008	culture_number
str10425	NCFB 2008	culture_number
str10425	NCIB 621	culture_number
str10425	NCIB 7069	culture_number
str10425	NCIB 8035	culture_number
str10425	NCIM 2048	culture_number
str10425	NCIM 2440	culture_number
str10425	NCIMB 621	culture_number
str10425	NCIMB 7069	culture_number
str10425	NCIMB 8035	culture_number
str10425	NCTC 621	culture_number
str10425	NCTC 7069	culture_number
str10425	NRRL B-72	culture_number
str10425	NRRL B-755	culture_number
str10425	VKM B-885	culture_number
str10425	VTT E-75003	culture_number
str10425	VTT E-97003	culture_number
str10426	IAM 1655	culture_number
str10426	IFO 12020	culture_number
str10426	NBRC 12020	culture_number
str10427	ATCC 21759	culture_number
str10427	DSM 7132	culture_number
str10427	IFO 13213	culture_number
str10427	NBRC 13213	culture_number
str10428	ATCC 21755	culture_number
str10428	IFO 13221	culture_number
str10429	VKM B-629	culture_number
str10433	ATCC 9325	culture_number
str10433	BCRC 11424	culture_number
str10433	CCRC 11424	culture_number
str10433	CECT 824	culture_number
str10433	IFO 3225	culture_number
str10433	LMG 1596	culture_number
str10433	LMG 1685	culture_number
str10433	NBIMCC 1753	culture_number
str10433	NBRC 3225	culture_number
str10433	NCIB 6249	culture_number
str10433	NCIM 2313	culture_number
str10433	NCIMB 6249	culture_number
str10433	NCTC 6249	culture_number
str10433	NRRL B-570	culture_number
str10436	CECT 4428	culture_number
str10436	IFO 3835	culture_number
str10436	NBIMCC 1698	culture_number
str10436	NBRC 3835	culture_number
str10437	ATCC 17808	culture_number
str10437	IAM 1577	culture_number
str10437	JCM 3806	culture_number
str10438	CECT 4428	culture_number
str10438	IFO 3835	culture_number
str10438	NBIMCC 1698	culture_number
str10438	NBRC 3835	culture_number
str10439	IFO 3995	culture_number
str10439	NBRC 3995	culture_number
str1044	IFO 4308	culture_number
str1044	NBRC 4308	culture_number
str1044	VTT D-93199	culture_number
str10440	ATCC 6033	culture_number
str10440	CCM 2373	culture_number
str10440	IAM 1824	culture_number
str10440	IFO 3223	culture_number
str10440	JCM 20285	culture_number
str10440	LMD 1647	culture_number
str10440	LMD 32.31	culture_number
str10440	LMD 75.6	culture_number
str10440	LMG 1608	culture_number
str10440	LMG 1647	culture_number
str10440	NBRC 3223	culture_number
str10440	NCCB 75006	culture_number
str10440	NCIB 8088	culture_number
str10440	NCIMB 8088	culture_number
str10440	NRRL B-752	culture_number
str10441	ATCC 9325	culture_number
str10441	BCRC 11424	culture_number
str10441	CCRC 11424	culture_number
str10441	CECT 824	culture_number
str10441	IFO 3225	culture_number
str10441	LMG 1596	culture_number
str10441	LMG 1685	culture_number
str10441	NBIMCC 1753	culture_number
str10441	NBRC 3225	culture_number
str10441	NCIB 6249	culture_number
str10441	NCIM 2313	culture_number
str10441	NCIMB 6249	culture_number
str10441	NCTC 6249	culture_number
str10441	NRRL B-570	culture_number
str10444	ATCC MYA-2160	culture_number
str10445	ATCC 51982	culture_number
str10445	DSM 14932	culture_number
str10446	FGSC 9003	culture_number
str10447	AS 1.2430	culture_number
str10447	CGMCC 1.2430	culture_number
str10447	DSM 15242	culture_number
str10447	JCM 11007	culture_number
str10447	NBRC 100824	culture_number
str10451	DSM 45960	culture_number
str10456	ATCC 27730	culture_number
str10456	BCRC 12532	culture_number
str10456	CCRC 12532	culture_number
str10456	CECT 3320	culture_number
str10456	CIP 105594	culture_number
str10456	DSM 43792	culture_number
str10456	HAMBI 1548	culture_number
str10456	HAMBI 483	culture_number
str10456	IFO 14071	culture_number
str10456	JCM 3263	culture_number
str10456	KACC 20072	culture_number
str10456	KCTC 9052	culture_number
str10456	NBRC 14071	culture_number
str10456	NCIB 11185	culture_number
str10456	NCIMB 11185	culture_number
str10456	NRRL B-8184	culture_number
str10456	VKM AC-1952	culture_number
str10459	CECT 7915	culture_number
str1046	ATCC 20627	culture_number
str10461	CECT 7930	culture_number
str1047	ATCC 11303	culture_number
str1047	BCRC 10674	culture_number
str1047	BCRC 13055	culture_number
str1047	BCRC 14893	culture_number
str1047	CCM 7372	culture_number
str1047	CCRC 10674	culture_number
str1047	CCRC 13055	culture_number
str1047	CCRC 14893	culture_number
str1047	CCT 7443	culture_number
str1047	CCUG 2468	culture_number
str1047	CECT 4201	culture_number
str1047	CIP 103914	culture_number
str1047	CNCTC 6241	culture_number
str1047	DSM 613	culture_number
str1047	IAM 1268	culture_number
str1047	JCM 20137	culture_number
str1047	LMG 17555	culture_number
str1047	LMG 17664	culture_number
str1047	NCIB 11595	culture_number
str1047	NCIMB 11595	culture_number
str1047	NRRL B-14943	culture_number
str10470	CECT 7920	culture_number
str10471	DSM 14290	culture_number
str10471	JCM 11239	culture_number
str10472	CECT 7914	culture_number
str10479	ATCC BAA-125	culture_number
str10479	ATCC BAA-1257	culture_number
str10479	CCM 4191	culture_number
str10479	CECT 7585	culture_number
str10479	DSM 18197	culture_number
str10479	DSM 22872	culture_number
str10479	JCM 16411	culture_number
str10479	JCM 9153	culture_number
str10479	LMG 21649	culture_number
str10479	LMG 21718	culture_number
str10479	LMG 25388	culture_number
str10480	CCUG 44360	culture_number
str10480	CIP 106294	culture_number
str10480	DSM 21463	culture_number
str10485	ATCC 201293	culture_number
str10487	ATCC 27634	culture_number
str10487	BCRC 16072	culture_number
str10487	BCRC 17262	culture_number
str10487	CCRC 16072	culture_number
str10487	CCRC 17262	culture_number
str10487	CIP 110185	culture_number
str10487	DSM 579	culture_number
str10487	IMET 11057	culture_number
str10487	JCM 10941	culture_number
str10487	LMG 8925	culture_number
str10487	NBRC 101084	culture_number
str10487	NCIB 11244	culture_number
str10487	NCIMB 11244	culture_number
str10487	VKM B-1605	culture_number
str10492	DSM 41481	culture_number
str10496	DSM 15698	culture_number
str10496	JCM 12110	culture_number
str105	ATCC 96608	culture_number
str105	VTT D-98698	culture_number
str10507	FGSC 204	culture_number
str10509	CBS 162.65	culture_number
str10511	CCAP 1055/1	culture_number
str10511	CCAP 1055/3	culture_number
str10511	CCMP 2561	culture_number
str10511	CCMP 632	culture_number
str10512	CCAP 1310/4	culture_number
str10514	CCAP 11/32B	culture_number
str10514	NIES 2238	culture_number
str10514	SAG 11-32A	culture_number
str10514	UTEX 89	culture_number
str10515	DSM 6534	culture_number
str10515	IAM 12695	culture_number
str10515	JCM 7687	culture_number
str10515	NBRC 102181	culture_number
str10517	ACM 5197	culture_number
str10517	ATCC 33152	culture_number
str10517	CCM 7799	culture_number
str10517	CCUG 9568	culture_number
str10517	CECT 7109	culture_number
str10517	CIP 103854	culture_number
str10517	CNCTC 7371	culture_number
str10517	DSM 7513	culture_number
str10517	JCM 7571	culture_number
str10517	KCTC 12009	culture_number
str10517	KCTC 2614	culture_number
str10517	NCTC 11192	culture_number
str10518	ATCC 12472	culture_number
str10518	BCRC 10636	culture_number
str10518	CBMAI 305	culture_number
str10518	CCRC 10636	culture_number
str10518	CCUG 213	culture_number
str10518	CECT 494	culture_number
str10518	CIP 103350	culture_number
str10518	DSM 30191	culture_number
str10518	IAM 12470	culture_number
str10518	ICMP 8644	culture_number
str10518	IFO 12614	culture_number
str10518	IMI 185481	culture_number
str10518	JCM 1249	culture_number
str10518	KCTC 2897	culture_number
